STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2009,6.097,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Venezuela, RB","Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2009,1.737,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Vietnam,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2009,20.452,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2009,14.627,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.","Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2010,9.370348441226659,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2010,9.927187389590614,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2010,4.907217309057445,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2018,5.032,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2019,3.689777418145122,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2019,7.898344220461609,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Caribbean small states,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
